Description,Category
AMIODARONE 200MG,RX
AMITIZA CAP 8MCG,RX
AMITRIPTYLIN TAB (T-E-N) 10MG,RX
AMITRIPTYLIN TAB 100MG,RX
AMITRIPTYLIN TAB 25MG,RX
AMITRIPTYLIN TAB 50MG,RX
AMITRIPTYLINE 25MG,RX
AMITRIPTYLINE HCL 25MG,RX
AMLODIPINE TAB 10MG,RX
AMLODIPINE TAB 2.5MG,RX
AMLODIPINE TAB 5MG,RX
AMLODIPINE 2.5MG TAB,RX
AMLODIPINE 10MG TAB,RX
AMLODIPINE 10MG*,RX
AMLODIPINE 2.5MG,RX
AMLODIPINE 5MG TAB,RX
AMLODIPINE 5MG*,RX
AMLODIPINE BESYLATE 10MG,RX
AMLODIPINE BESYLATE 5MG,RX
AMMONIUM LAC CRE 12%,OTC
AMMONIUM LAC LOT 12%,OTC
AMMONIUM LACT 12% LOTION (OTC),OTC
AMMONIUM LACTATE 0.12,OTC
AMOX/CLAV 500-125MG,RX
AMOX/K CLAV TAB 500-125,RX
AMOX/K CLAV TAB 875-125,RX
AMOXICILLIN CAP 500MG,RX
AMOXICILLIN/CLAV 875/125MG,RX
AMOXICILLIN/CLAVULANATE POTASSIUM,RX
AMOXICILLING/CLAV 875-125,RX
AMOX-K CLAV 500-125MG TAB,RX
AMOX-K CLAV 875-125MG TAB,RX
AMPICILLIN CAP 500MG,RX
AMPICILLIN 500MG,RX
ANASTROZOLE TAB 1MG,RX
ANASTROZOLE 1MG TAB,RX
ANORO [ELLIPTA] *7DAY* 62.5-25,RX
ANORO ELLIPT AER 62.5-25,RX
ANTIFUNGAL POW 2%,OTC
ANTI-FUNGAL POW 1%,OTC
AQUAPHOR,OTC
AQUAPHOR OIN,OTC
AQUAPHOR ADVANCED THERAPY OINT,OTC
ARANESP 100MCG/0.5ML PFS,RX
ARANESP 300MCG/0.6ML PFS,RX
ARIPIPRAZOLE 2MG,RX
ARIPIPRAZOLE 5MG,RX
ARIPIPRAZOLE TAB 20MG,RX
ARIPIPRAZOLE TAB 5MG,RX
ARNICARE GEL,OTC
ARTIFI TEARS SOL 1.4% OP,OTC
ARTIFICAL TEARS *UD*,OTC
ARTIFICIAL TEARS,OTC
ARTIFICIAL TEARS 1.4% OPTH.SLN,OTC
ASCORBIC ACID 500MG,OTC
ASCORBIC ACID W/ROSE HIPS,OTC
ASMANEX 60 AER 220MCG,RX
ASPART FLEXPEN 100U/ML,RX
ASPERCREME PAD LIDO 4%,OTC
ASPERCREME LIDOCAINE 4% PATCH,OTC
ASPERCREME W/LIDOCAINE 0.04,OTC
ASPERCREME W/LIDOCAINE 4%,OTC
ASPIRIN TAB 325MG,OTC
ASPIRIN -ENTERIC- 81MG*,OTC
ATENOLOL TAB 25MG,RX
ATENOLOL TAB 50MG,RX
ATENOLOL 25MG,RX
ATHLETES FOOT ANTIFUNG 1% SPRY,OTC
ATORVASTATIN 10MG,RX
ATORVASTATIN 10MG TAB,RX
ATORVASTATIN 20MG,RX
ATORVASTATIN 20MG TAB,RX
ATORVASTATIN 40MG *,RX
ATORVASTATIN 40MG TAB,RX
ATORVASTATIN 40MG*,RX
ATORVASTATIN 80MG,RX
ATORVASTATIN 80MG TAB,RX
ATORVASTATIN CALCIUM 10MG,RX
ATORVASTATIN CALCIUM 20MG,RX
ATORVASTATIN CALCIUM 40MG,RX
ATORVASTATIN CALCIUM 80MG,RX
ATORVASTATIN TAB 10MG,RX
ATORVASTATIN TAB 20MG,RX
ATORVASTATIN TAB 40MG,RX
ATORVASTATIN TAB 80MG,RX
AURYXIA TAB 210MG,RX
AVENOVA SOL 0.01%,RX
AZATHIOPRINE TAB 50MG,RX
AZELAST/FLUT 137-50MCG NAS SPR,RX
AZELASTINE SPR 0.15%,RX
AZELASTINE 0.05% OPHTH SOLN,RX
AZITHROMYCIN 250MG,RX
AZITHROMYCIN 250MG TAB,RX
AZITHROMYCIN 250MG TAB (Z-PAK),RX
AZITHROMYCIN 500MG,RX
AZITHROMYCIN 500MG TAB,RX
AZITHROMYCIN TAB 250MG,RX
AZITHROMYCIN TAB 500MG,RX
B COMPLEX/ CAP VIT C,OTC
B-12 ER 1000MCG-TBCR,OTC
BABY SHAMPOO,OTC
BACITRACIN OIN 500/GM,OTC
BACLOFEN TAB 10MG,RX
BACLOFEN TAB 20MG,RX
BACLOFEN TAB 5MG,RX
BACLOFEN 10MG,RX
BACLOFEN 10MG TAB,RX
BACLOFEN 5MG,RX
BACLOFEN 5MG TAB,RX
BALSAM PERU OIN CASTOR,RX
BASAGLAR KWIKPEN 100UNIT/ML,RX
BASAGLAR KWIKPEN-100UNIT/ML,RX
BAXTER PRIMARY TUBING (2C8515),IV SUPPLY
B-COMPLEX TAB,OTC
B-COMPLEX *NATURE'S BLEND*,OTC
B-COMPLEX CAP,OTC
B-COMPLEX TABLET,OTC
B-COMPLEX W/C & FOLIC ACID,OTC
BD AUTOSHIELD DUO 30GX5MM NDL,SUPPLY-NON IV
"BD INSYTE AUTOGARD 22GX1""",IV SUPPLY
"BD INSYTE AUTOGUARD 24GX3/4""",IV SUPPLY
BENEFIBER ON POW THE GO,OTC
BENEFIBER POWDER,OTC
BENGAY CRE GREASLES,OTC
BENGAY CRE ULTRA ST,OTC
BENGAY GREASELESS CREAM,OTC
BENZONATATE CAP 100MG,RX
BENZONATATE CAP 200MG,RX
BENZTROPINE TAB 0.5MG,RX
BENZTROPINE 0.5MG TAB,RX
BENZTROPINE 1MG TAB,RX
BENZTROPINE MESYLATE 0.5MG,RX
BETAMETH DIP LOT 0.05%,RX
BETIMOL SOL 0.25%,RX
BICALUTAMIDE 50MG,RX
BIOFREEZE 4% GEL,OTC
BIOFREEZE ROLL-ON,OTC
BIONECTOR NEEDLELESS CONNECTOR,IV SUPPLY
BIOTENE LIQ DRY MTH,OTC
BIOTENE DRY SPR MOIST,OTC
BISACODYL TAB 5MG EC,OTC
BISACODYL 5MG EC TAB,OTC
BISACODYL EC 5MG,OTC
BISACODYL SUPP 10MG,OTC
BISOPRL/HCTZ TAB 2.5/6.25,RX
BISOPRL/HCTZ TAB 5-6.25MG,RX
BREO ELLIP 100-25MCG (30 INH),RX
BREO ELLIP 200-25MCG (30 INH),RX
BREO ELLIPTA,RX
BREO ELLIPTA 100-25MCG/INHALER,RX
BRILINTA TAB 90MG,RX
BRILINTA 90MG,RX
BRIMONIDINE SOL 0.2% OP,RX
BUDES/FORMOT AER 160-4.5,RX
BUDES/FORMOT AER 80-4.5,RX
BUDESONIDE SUS 0.5MG/2,RX
BUDESONIDE 0.5MG/2ML,RX
BUDESONIDE NEBS 0.5MG/2ML,RX
BUDESONIDE/FORMOTEROL FUMARATE DIHYDRATE,RX
BUMETANIDE TAB 2MG,RX
BUMETANIDE 1MG TAB,RX
BUMETANIDE 2MG,RX
BUMETANIDE 2MG TAB,RX
BUPROPION TAB 100MG,RX
BUPROPION TAB 150MG SR,RX
BUPROPION TAB 75MG,RX
BUPROPION *XL* 150MG,RX
BUPROPION HYDROCHLORIDE ER (SR) 100MG,RX
BUPROPION HYDROCHLORIDE ER (SR) 150MG,RX
BUPROPION HYDROCHLORIDE ER (XL) 150MG,RX
BUPROPION HYDROCHLORIDE ER (XL) 300MG,RX
BUPROPN HCL TAB 150MG XL,RX
BUSPIRONE TAB 10MG,RX
BUSPIRONE TAB 15MG,RX
BUSPIRONE TAB 30MG,RX
BUSPIRONE 10MG,RX
BUSPIRONE 15MG,RX
BUSPIRONE 5MG,RX
BUSPIRONE HYDROCHLORIDE 10MG,RX
BUT/APAP/CAF CAP 300/50/40MG,RX
BUT/APAP/CAFF 50-325-40MG,RX
BYSTOLIC TAB 2.5MG,RX
BYSTOLIC TAB 20MG,RX
BYSTOLIC TAB 5MG,RX
CALAZIME 3.5-0.2-69-16.5% PSTE,OTC
CALAZIME SKIN PROTECTANT/OLIVAMINE,OTC
CALC ACETATE CAP 667MG,RX
CALCITRIOL CAP 0.25MCG,RX
CALCITRIOL CAP 0.5MCG,RX
CALCITRIOL 0.5MCG CAP,RX
CALCIUM 600 +D 600-400,OTC
CALCIUM 600 +D 600-400 *,OTC
CALCIUM 600+D & MINER CHEW,OTC
CALCIUM 600+D & MINERALS CHEW,OTC
CALCIUM 600MG+VIT D3 400IU,OTC
*DRESSING CHANGE TRAY DC-5155,IV SUPPLY
CALCIUM CARBONATE 600MG,OTC
CALCIUM CARBONATE 600MG TAB,OTC
CALCIUM CARBONATE 648MG,OTC
CALCIUM CITRATE (200MG) 950MG,OTC
CALCIUM+D 600-400 *,OTC
CALDESENE POW 81-15%,OTC
CALPHRON TAB 667MG,OTC
CAPZASIN-HP 0.001,OTC
CARB/LEVO TAB 25-100MG,RX
CARBAMAZEPIN CAP 300MG ER,RX
CARBAMAZEPIN TAB 200MG,RX
CARBAMAZEPIN TAB 400MG ER,RX
CARBAMIDE PEROX 6.5% OTIC SOLN,OTC
CARBIDOPA/LEVO TAB 25-250MG,RX
CARBIDOPA/LEVOD 10-100MG,RX
CARBIDOPA/LEVODOPA,RX
CARBIDOPA/LEVODOPA ER,RX
CARBIDOPA-LEVOD ER 25-100MG TB,RX
CARBIDOPA-LEVODOPA 25-100MG TB,RX
CARVEDILOL TAB 12.5MG,RX
CARVEDILOL TAB 25MG,RX
CARVEDILOL TAB 3.125MG,RX
CARVEDILOL TAB 6.25MG,RX
CARVEDILOL 12.5MG,RX
CARVEDILOL 25MG TAB,RX
CARVEDILOL 3.125MG,RX
CARVEDILOL 6.25MG,RX
CARVEDILOL 6.25MG TAB,RX
CATHFLO ACTIVASE 2MG INJ,IV DRUG
CEFAZOLIN 1GM VIAL,IV DRUG
CEFDINIR CAP 300MG,RX
CEFEPIME 1GM VIAL,IV DRUG
CEFIXIME 400MG,RX
CEFPODOXIME TAB 100MG,RX
CEFPODOXIME TAB 200MG,RX
cefTAZidime 1GM VIAL,IV DRUG
CEFTRIAX/DEX INJ 1GM (50ML),IV DRUG
CEFTRIAX/DEX INJ 2GM (50ML),IV DRUG
CEFTRIAXONE INJ 1GM,IV DRUG
CEFTRIAXONE INJ 2GM,IV DRUG
CEFTRIAXONE 1GM (ADV),IV DRUG
CEFTRIAXONE 1GM VIAL,IV DRUG
CEFTRIAXONE ADD-VANTAGE 1GM,IV DRUG
CEFTRIAXONE SODIUM 1GM,IV DRUG
CELECOXIB CAP 100MG,RX
CELECOXIB CAP 200MG,RX
CELECOXIB 200MG CAP,RX
CENTRUM,OTC
CEPHALEXIN CAP 250MG,RX
CEPHALEXIN CAP 500MG,RX
CEPHALEXIN SUS 250/5ML,RX
CEPHALEXIN 250MG,RX
CEPHALEXIN 500MG,RX
CEPHALEXIN 500MG CAP,RX
CERAVE LOTION,OTC
CEROVITE TAB SENIOR,OTC
CERTAVITE SENIOR,OTC
CERTAVITE/ANTIOXIDANTS,OTC
CETIRIZINE (OTC) 10MG,OTC
CETIRIZINE (OTC) 10MG *,OTC
CETIRIZINE **5MG**,OTC
CETIRIZINE 10MG TAB,OTC
CETIRIZINE 5MG TAB,OTC
CHLORHEX GLU SOL 0.12%,RX
CHLORHEXIDINE GLUC 0.12% SOLN,RX
CHLORHEXIDINE GLUCONATE 0.0012,RX
CHLORTHALID TAB 25MG,RX
CHLORZOXAZON TAB 500MG,RX
CHOLESTYRAM POW 4GM,RX
CILOSTAZOL TAB 100MG,RX
CINACALCET TAB 30MG,RX
CIPROFLOXACIN 250MG,RX
CIPROFLOXACIN 500MG,RX
CIPROFLOXACIN 500MG TAB,RX
CIPROFLOXACIN HYDROCHLORIDE 250MG,RX
CIPROFLOXACIN HYDROCHLORIDE 500MG,RX
CIPROFLOXACN SOL 0.3% OP,RX
CIPROFLOXACN TAB 250MG,RX
CIPROFLOXACN TAB 750MG,RX
CITALOPRAM TAB 20MG,RX
CITALOPRAM TAB 40MG,RX
CITALOPRAM 20MG,RX
CITRUS CALCIUM+D 200/250,OTC
CLARITHROMYC TAB 250MG,RX
CLEAR EYES TEARS 0.5%-0.6%,OTC
CLEARLAX PACKETS,OTC
CLINDAMYCIN CAP 300MG,RX
CLINDAMYCIN GEL 1%,RX
CLOBETASOL LOT 0.05%,RX
CLONAZEPAM TAB 0.5MG,RX
CLONAZEPAM TAB 1MG,RX
CLONAZEPAM 0.5MG,RX
CLONAZEPAM 0.5MG TAB,RX
CLONAZEPAM 1MG,RX
CLONIDINE DIS 0.1/24HR,RX
CLONIDINE DIS 0.3/24HR,RX
CLONIDINE TAB 0.1MG,RX
CLONIDINE HCL 0.1MG,RX
CLONIDINE HCL 0.1MG TAB,RX
CLOPIDOGREL TAB 75MG,RX
CLOPIDOGREL 75MG,RX
CLOPIDOGREL 75MG *,RX
CLOPIDOGREL 75MG TAB,RX
CLOPIDOGREL 75MG*,RX
CLOTRIM/BETA CRE DIPROP,RX
CLOTRIM/BETA LOT DIPROP,RX
CLOTRIMAZOLE 1% CREAM,OTC
CLOTRIMAZOLE CRE 1%,OTC
CLOZAPINE TAB 100MG,RX
CLOZAPINE TAB 200MG,RX
CLOZAPINE TAB 25MG,RX
C-MAGIC MOUTH WASH,RX
CO-ENZYME Q-10 50 MG,OTC
COLCHICINE TAB 0.6MG,RX
COLD/HOT 5% PAD,OTC
COMBIGAN SOL 0.2/0.5%,RX
COMBIVENT RESPIMAT,RX
COMBIVENT RESPIMAT 20-100MCG,RX
COMBIVENT RESPIMAT INH (120MD),RX
COMBIVENT RSP 20-100 (120 INH),RX
CONSULTING CHARGE,CONSULTING
Consulting Fee,CONSULTING
CORTEF 5MG TAB,RX
C-PANTOPRAZOLE 2MG/ML SUSP,RX
CRANBERRY TAB 450MG,OTC
CRANBERRY 250MG,OTC
CRANBERRY 425MG,OTC
CREON,RX
CT HYDRATION SUPPLIES,IV SUPPLY
CULTURELLE 10 Billion,OTC
CULTURELLE DIGESTIVE HEALTH,OTC
CYANOCOBALAM INJ 1000MCG,RX
CYANOCOBALAMIN INJ 1000MCG,RX
CYANOCOBALAMIN INJ 1000MCG/1ML,RX
CYCLOBENZAPRINE 10MG,RX
CYCLOBENZAPRINE 5MG,RX
CYCLOBENZAPRINE 5MG TAB,RX
CYCLOBENZAPRINE HYDROCHLORIDE 10MG,RX
CYCLOSPORINE CAP 100MG,RX
CYCLOSPORINE CAP 25MG,RX
D3 CAP 10000,OTC
D3-50 50000UNIT,OTC
D5W/NACL INJ 0.45%,IV DRUG
D5W/NACL INJ 0.9%,IV DRUG
D5W/NACL0.45% SOLN (1000ML),IV DRUG
D5W/NACL0.9% SOLN 1000ML,IV DRUG
DAILY MULTIPLE VITAMIN*,OTC
DAILY VITAMIN - CHEWABLE,OTC
DALIRESP TAB 500MCG,RX
DEEP SEA 0.65% NASAL SPRAY,OTC
DEPO-MEDROL INJ 80MG/ML,RX
DERMAMED OIN,OTC
DERMASARRA LOT,OTC
DESITIN PST 40%,OTC
DESITIN 0.4,OTC
DESITIN MAX PASTE 0.4,OTC
DEXAMETHASON TAB 1MG,RX
DEXAMETHASON TAB 4MG,RX
DEXILANT CAP 30MG DR,RX
DEXTROSE INJ 5%,IV DRUG
DEXTROSE (IV) 5%,IV DRUG
DEXTROSE 5% 0.05,IV DRUG
DEXTROSE 5% SOLN-(1000ML),IV DRUG
DEXTROSE 5% SOLN-(100ML),IV DRUG
DEXTROSE 5% SOLN-(250ML),IV DRUG
DEXTROSE 5%/NACL 0.45%,IV DRUG
DEXTROSE 5%/NACL 0.9%,IV DRUG
DHEA 50MG TAB,OTC
DIABET. SILTUS DM 10-100MG/5ML,OTC
DIABETIC TUS LIQ DM,OTC
DIABETIC TUSSIN 100MG/5ML,OTC
DIABETIC TUSSIN DM LIQ,OTC
DIAZEPAM TAB 2MG,RX
DIAZEPAM TAB 5MG,RX
DICLOFENAC GEL 1%,RX
DICLOFENAC SODIUM 0.01,RX
DICLOFENAC SODIUM 1% GEL,RX
DICYCLOMINE CAP 10MG,RX
DICYCLOMINE TAB 20MG,RX
DICYCLOMINE HYDROCHLORIDE 10MG,RX
DICYLOMINE *TAB* 20MG,RX
DIGOXIN TAB 0.125MG,RX
DIGOXIN 0.125MG,RX
DILTIAZEM CAP 120MG ER,RX
DILTIAZEM CAP 120MG/24,RX
DILTIAZEM CAP 240MG ER,RX
DILTIAZEM CAP 360MG ER,RX
DILTIAZEM TAB 120MG,RX
DILTIAZEM TAB 60MG,RX
DILTIAZEM ER 180MG,RX
DILTIAZEM ER 240MG,RX
DILTIAZEM ER TAB 240MG,RX
DILTIAZEM ER TAB 360MG,RX
DILTIAZEM HCL 60MG,RX
DIPHENHYDRAMINE 25MG,OTC
DIPHENHYDRAMINE 25MG TAB,OTC
DIPHENHYDRAMINE INJ (1ML) 50MG,RX
DIVALPROEX CAP 125MG,RX
DIVALPROEX TAB 125MG DR,RX
DIVALPROEX TAB 250MG DR,RX
DIVALPROEX TAB 250MG ER,RX
DIVALPROEX TAB 500MG DR,RX
DIVALPROEX 250MG DR TAB,RX
DIVALPROEX 500MG DR TAB,RX
DIVALPROEX ER 500MG TAB,RX
DIVALPROEX SODIUM DR 125MG,RX
DIVALPROEX SODIUM DR 250MG,RX
DIVALPROEX SODIUM ER 500MG,RX
DIVALPROEX SPRINKLE 125MG,RX
DIVALPROEX SPRINKLE 125MG *,RX
DIVALPROEX SPRINKLE 125MG*,RX
DOCUSATE 100MG*,OTC
DOK 100MG,OTC
DONEPEZIL TAB 10MG,RX
DONEPEZIL TAB 5MG,RX
DONEPEZIL 10MG *,RX
DONEPEZIL 10MG TAB,RX
DONEPEZIL 5MG,RX
DONEPEZIL 5MG TAB,RX
DORZOL/TIMOL SOL 2%-0.5%,RX
DORZOLAMIDE HYDROCHLORIDE 0.02,RX
DORZOLAMIDE/TIMOL 22.3-6.8,RX
DOVE SOAP (1 BAR),OTC
DOXAZOSIN TAB 4MG,RX
DOXAZOSIN MESYLATE 2MG,RX
DOXYCYCL HYC CAP 100MG,RX
DOXYCYCL HYC TAB 100MG,RX
DOXYCYCLINE TAB 20MG,RX
DOXYCYCLINE HYCLATE 100MG,RX
DOXYCYCLINE HYCLATE 100MG TAB,RX
"ACTICOAT ANTIMICROBIAL4""X4""PAD",IV SUPPLY
DRIZALMA CAP 30MG DR,RX
DRONABINOL CAP 2.5MG,RX
DRONABINOL 5MG CAP,RX
DULERA 200MCG (120 INH),RX
DULOXETINE CAP 20MG,RX
DULOXETINE CAP 30MG,RX
DULOXETINE CAP 40MG,RX
DULOXETINE CAP 60MG,RX
DULOXETINE 20MG,RX
DULOXETINE 30MG,RX
DULOXETINE 30MG DR CAP,RX
DULOXETINE 60MG DR CAP,RX
DULOXETINE HYDROCHLORIDE 60MG,RX
DUTAST/TAMSU CAP 0.5-0.4,RX
EASIVENT MIS,SUPPLY-NON IV
ELIQUIS TAB 2.5MG,RX
ELIQUIS TAB 5MG,RX
ELIQUIS 2.5MG,RX
ELIQUIS 2.5MG TAB,RX
ELIQUIS 5MG,RX
ELIQUIS 5MG TAB,RX
ENALAPRIL TAB 10MG,RX
ENALAPRIL TAB 2.5MG,RX
ENALAPRIL TAB 20MG,RX
ENALAPRIL 10MG,RX
ENALAPRIL 20MG,RX
ENOXAPARIN INJ 30/0.3ML,RX
ENOXAPARIN INJ 40/0.4ML,RX
ENOXAPARIN INJ 60/0.6ML,RX
ENOXAPARIN INJ 80/0.8ML,RX
ENOXAPARIN 30MG/0.3ML SYRINGE,RX
ENOXAPARIN 40MG/0.4ML SYRINGE,RX
ENOXAPARIN SODIUM 120MG/0.8ML,RX
ENOXAPARIN SODIUM 30MG/0.3ML,RX
ENOXAPARIN SODIUM 40MG/0.4ML,RX
ENOXAPARIN SODIUM 60MG/0.6ML,RX
ENOXAPARIN SYR 30MG/0.3M,RX
ENTACAPONE 200MG TAB,RX
ENTRESTO TAB 24-26MG,RX
ENTRESTO 24-26MG,RX
ENULOSE 10GM/15ML SOLN,RX
EPLERENONE TAB 50MG,RX
ERGOCALCIFEROL 8000UNIT/ML,OTC
ERTAPENEM INJ 1GM,IV DRUG
ERTAPENEM 1GM IN 100ML NS 0.9%,IV DRUG
ERTAPENEM SODIUM 1GM VIAL,IV DRUG
ERYTHROMYCIN 0.5% OPTH OINT,RX
ERYTHROMYCIN OPTH OINT 3.5GM,RX
ESCITALOPRAM 10MG *,RX
ESCITALOPRAM 20MG TAB,RX
ESCITALOPRAM 5MG TAB,RX
ESCITALOPRAM OXALATE 10MG,RX
ESCITALOPRAM OXALATE 20MG,RX
ESCITALOPRAM OXALATE 5MG,RX
ESCITALOPRAM TAB 10MG,RX
ESCITALOPRAM TAB 20MG,RX
ESCITALOPRAM TAB 5MG,RX
ESOMEPRA MAG CAP 40MG DR,RX
ESOMEPRAZOLE CAP 40MG DR,RX
ESTRADIOL CRE 0.01%,RX
ESTRADIOL TAB 1MG,RX
EUCERIN CRE,OTC
EUCERIN CALMING CREAM,OTC
EUCERIN INTENSIVE REPAIR LOT,OTC
EUCERIN ORIGINAL HEALING CREAM,OTC
EZETIMIBE TAB 10MG,RX
EZETIMIBE 10MG,RX
EZETIMIBE 10MG TAB,RX
FABB TAB 2.2-25-1,RX
FACILITY IV SUPPLIES,IV SUPPLY
FAMOTIDINE 10 MG TABLET,OTC
FAMOTIDINE 10MG,OTC
FAMOTIDINE 10MG OTC TAB,OTC
FAMOTIDINE 10MG TAB,OTC
FAMOTIDINE 10MG TABLET,OTC
FAMOTIDINE 10MG TABS,OTC
FAMOTIDINE 20 MG TABLET,OTC
FENOFIBRATE TAB 145MG,RX
FENOFIBRATE TAB 160MG,RX
FENOFIBRATE 145MG,RX
FENOFIBRATE MICRONIZED200MG CP,RX
FENOFIBRIC 135MG,RX
FENTANYL DIS 100MCG/H,RX
FENTANYL DIS 25MCG/HR,RX
FENTANYL DIS 50MCG/HR,RX
FERRALET 90 TAB,RX
FERREX 150 150MG,OTC
FERREX 150MG CAP,OTC
FERROUS FUMARATE 65 mg,OTC
FERROUS GLUC TAB 324MG,OTC
FERROUS GLUCONATE 324MG,OTC
FERROUS SULF TAB 325MG EC,OTC
FERROUS SULFATE 220MG/5ML,OTC
FERROUS SULFATE 300MG/5ML CUPS,OTC
FERROUS SULFATE 325MG *,OTC
FAMOTIDINE 20MG,OTC
FAMOTIDINE 20MG TAB,OTC
FAMOTIDINE 20MG TAB (OTC),OTC
FIBER LAXATV TAB 625MG,OTC
FIBER-LAX 625MG,OTC
FINASTERIDE TAB 5MG,RX
FINASTERIDE 5MG,RX
FINASTERIDE 5MG TAB,RX
FIRST-BACLOFEN 5 5MG/ML,RX
FISH OIL 1000MG CAP,OTC
FISH OIL 1200MG,OTC
FISH OIL 500MG,OTC
FISH OIL CAP 1000MG,OTC
FLAXSEED OIL 1200MG,OTC
FLECAINIDE 100MG,RX
FLEET LIQUID GLYCERIN ENEMA,OTC
FLONASE SENS SUS 27.5MCG,OTC
FLORANEX TAB,OTC
FLORASTOR CAP 250MG,OTC
FLOVENT DISKUS 100MCG/BLIST,RX
FLOVENT DISKUS 50MCG AER,RX
FLOVENT HFA AER 44MCG (120 IN),RX
"FLOW REG IV 92"" (RF5000)",IV SUPPLY
"FLOW REG IV SET 92"" [RF6500]",IV SUPPLY
"FLOW REGULATOR IV SET 92""",IV SUPPLY
FLUCONAZOLE TAB 200MG,RX
FLUCONAZOLE TAB 50MG,RX
FLUCONAZOLE 100MG,RX
FLUCONAZOLE 200MG,RX
FLUDROCORT TAB 0.1MG,RX
FLUDROCORTISONE 0.1MG TAB,RX
FLUOROMETHOL SUS 0.1% OP,RX
FLUOXETINE CAP 10MG,RX
FLUOXETINE CAP 20MG,RX
FLUOXETINE CAP 40MG,RX
FLUOXETINE TAB 10MG,RX
FLUOXETINE 10MG CAP,RX
FLUOXETINE 40MG,RX
FLUOXETINE HCL 20MG,RX
FLUOXETINE HYDROCHLORIDE 10MG,RX
FLUTIC/SALME AER 100/50,RX
FLUTIC/SALME AER 500/50,RX
FLUTICASONE SPR 50MCG,RX
FLUTICASONE 50MCG/ACT (120),RX
FLUTICASONE 50MCG/ACT (120),OTC
FLUTICASONE PROPIONATE 50MCG/ACT,RX
FLUTICASONE SPR 50MCG (120),RX
FLUTICASONE-SALMETEROL 113-14,RX
FLUTICASONE-SALMETEROL 232-14,RX
FLUTICASONE-SALMETEROL 55-14,RX
FOLIC ACID TAB 1000MCG,RX
FOLIC ACID TAB 1MG,RX
FOLIC ACID TAB 400MCG,OTC
FOLIC ACID 1MG,RX
FOLIC ACID 1MG *,RX
FOLIC ACID 1MG TAB,RX
FOLIC ACID 1MG*,RX
FOLIC ACID 400MCG,OTC
FOLIC ACID-1MG (1000MCG)-TABS,RX
FUROSEMIDE TAB 20MG,RX
FUROSEMIDE TAB 40MG,RX
FUROSEMIDE TAB 80MG,RX
FUROSEMIDE 20MG,RX
FUROSEMIDE 20MG *,RX
FUROSEMIDE 20MG TAB,RX
FUROSEMIDE 40 MG *,RX
FUROSEMIDE 40MG,RX
FUROSEMIDE 40MG TAB,RX
FUROSEMIDE 40MG*,RX
FUROSEMIDE 80MG,RX
GABAPENTIN CAP 100MG,RX
GABAPENTIN CAP 300MG,RX
GABAPENTIN CAP 400MG,RX
GABAPENTIN SOL 250/5ML,RX
GABAPENTIN TAB 600MG,RX
GABAPENTIN TAB 800MG,RX
GABAPENTIN 100MG,RX
GABAPENTIN 100MG *,RX
GABAPENTIN 100MG CAP,RX
GABAPENTIN 300MG,RX
GABAPENTIN 300MG CAP,RX
GABAPENTIN 400MG,RX
GABAPENTIN 600MG,RX
GABAPENTIN 600MG TAB,RX
